"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
11.101969,9.531735,9.517834,8.885247,8.885273,11.842506,10.234926,10.228328,9.550638,9.550664,12.294345,10.682837,10.674539,10.038886,10.038883,12.491259,10.87945,10.873111,10.257784,10.25785,55,19,1
10.906275,9.425566,9.406976,8.858713,8.858708,11.645673,10.115294,10.106236,9.516674,9.486943,12.097218,10.561323,10.550205,10.006914,9.974421,12.298037,10.760504,10.752064,10.227641,10.205405,56,19,2
10.187484,9.362093,9.33408,8.909652,8.850132,10.928767,10.020339,10.007229,9.552414,9.523494,11.333841,10.44373,10.428243,10.022302,10.022271,11.605601,10.644537,10.633347,10.237994,10.237942,57,20,0
11.212697,9.634486,9.620848,8.967677,8.967669,11.945492,10.334116,10.327113,9.62838,9.603524,12.347661,10.749623,10.740575,10.091939,10.063872,12.527301,10.936454,10.929716,10.303555,10.284066,58,20,1
11.014276,9.526962,9.509354,8.938418,8.883698,11.746016,10.212736,10.204016,9.590346,9.563583,12.148771,10.630957,10.619832,10.056894,10.056927,12.331594,10.821789,10.813651,10.270431,10.270469,59,20,2
10.456491,9.601836,9.58017,9.091582,9.091574,11.166924,10.245804,10.235362,9.727417,9.727387,11.500878,10.59206,10.578532,10.129189,10.12925,11.762359,10.797251,10.787493,10.348466,10.348451,60,21,0
11.417487,9.846574,9.837268,9.148701,9.14869,12.154397,10.539907,10.53538,9.804152,9.784056,12.519724,10.89797,10.891753,10.202588,10.178144,12.715796,11.094412,11.089646,10.418351,10.401451,61,21,1
11.22164,9.746142,9.733546,9.119637,9.074862,11.956418,10.422131,10.415845,9.765402,9.743277,12.320041,10.776015,10.767486,10.16536,10.165352,12.519138,10.974255,10.967849,10.382761,10.382743,62,21,2
10.650685,9.773528,9.755959,9.228046,9.228034,11.318451,10.375619,10.36659,9.828913,9.82883,11.609859,10.681806,10.670066,10.190573,10.190599,11.892483,10.906035,10.898158,10.423708,10.407235,63,22,0
11.560913,10.019008,10.010891,9.292722,9.258955,12.269513,10.678823,10.674607,9.918118,9.901267,12.596731,11.000543,10.994201,10.278481,10.278517,12.8016,11.210738,11.206077,10.507268,10.507253,64,22,1
11.373432,9.922758,9.912119,9.260771,9.260765,12.077828,10.564024,10.558575,9.874882,9.874892,12.401304,10.881984,10.873927,10.236052,10.236075,12.610208,11.095232,11.089271,10.46664,10.466634,65,22,2
10.173744,9.341482,9.314874,8.852247,8.85225,10.862392,9.955603,9.942801,9.463647,9.435308,11.25801,10.367433,10.351716,9.93172,9.900345,11.561894,10.597308,10.586733,10.171345,10.150637,66,23,0
11.264746,9.671127,9.659878,8.936562,8.890565,11.967772,10.34367,10.337764,9.575414,9.575466,12.36612,10.749617,10.741567,10.033913,10.033928,12.570228,10.961592,10.955568,10.268623,10.268557,67,23,1
11.068629,9.550003,9.535041,8.895702,8.895694,11.769541,10.207676,10.200074,9.522542,9.5226,12.166506,10.615457,10.605154,9.98534,9.95664,12.374456,10.831943,10.824441,10.222384,10.222347,68,23,2
10.563126,9.691604,9.672775,9.140937,9.097415,11.226708,10.293989,10.285094,9.742712,9.721158,11.546388,10.626327,10.614457,10.132256,10.106563,11.819529,10.841646,10.832933,10.358256,10.341032,69,24,0
11.429444,9.906372,9.897081,9.194729,9.158142,12.133113,10.559535,10.554695,9.816363,9.816341,12.486273,10.907869,10.900758,10.205091,10.205039,12.685795,11.110968,11.105865,10.427446,10.427551,70,24,1
11.243183,9.818781,9.806993,9.167624,9.127911,11.942974,10.454138,10.448008,9.779583,9.759838,12.293682,10.797886,10.789471,10.168898,10.144765,12.496164,11.003916,10.99771,10.392898,10.376539,71,24,2
10.523319,9.656072,9.636234,9.122062,9.075888,11.194704,10.262705,10.252753,9.726971,9.726967,11.520356,10.602434,10.589796,10.120924,10.120968,11.788083,10.810222,10.801867,10.341459,10.341337,72,25,0
11.438727,9.88499,9.875304,9.178294,9.178308,12.152813,10.547641,10.54266,9.804635,9.804684,12.503818,10.89894,10.891801,10.196664,10.173431,12.700397,11.097457,11.092209,10.414136,10.414114,73,25,1
11.244269,9.79114,9.778672,9.149919,9.107808,11.954582,10.434003,10.427709,9.765731,9.745014,12.30507,10.782296,10.773418,10.158825,10.134053,12.504435,10.983062,10.976768,10.377611,10.360831,74,25,2
10.59834,9.723392,9.705092,9.171411,9.128469,11.265113,10.330507,10.321672,9.776668,9.77662,11.577795,10.655719,10.643872,10.158086,10.158216,11.838982,10.860613,10.852762,10.376433,10.376342,75,26,0
11.436521,9.922963,9.913572,9.220497,9.220503,12.178336,10.592566,10.587708,9.849309,9.831167,12.527332,10.936186,10.929351,10.231215,10.208839,12.724885,11.134553,11.129433,10.447255,10.431888,76,26,1
11.249904,9.840382,9.828577,9.195613,9.156183,11.983835,10.486583,10.480644,9.812827,9.812844,12.330894,10.825007,10.816493,10.194656,10.194726,12.531562,11.024607,11.018576,10.411646,10.411711,77,26,2
10.438905,9.579041,9.557767,9.052837,9.052821,11.113202,10.187663,10.177547,9.659482,9.659483,11.455068,10.54751,10.534257,10.073832,10.073899,11.723273,10.750193,10.740777,10.290734,10.290684,78,27,0
11.313972,9.790442,9.779733,9.102599,9.061138,12.054094,10.459366,10.453972,9.731169,9.710663,12.433062,10.834103,10.826692,10.145053,10.120686,12.62761,11.029625,11.023973,10.359599,10.342803,79,27,1
11.125529,9.703698,9.690117,9.077424,9.03259,11.857261,10.350134,10.343348,9.695168,9.695204,12.234852,10.720617,10.711183,10.109388,10.109365,12.432922,10.917403,10.910666,10.324917,10.324887,80,27,2
10.419981,9.562659,9.540957,9.041074,9.041072,11.102348,10.178802,10.168694,9.65322,9.653252,11.452847,10.544041,10.530665,10.072076,10.044136,11.715165,10.743261,10.733933,10.286461,10.267442,81,28,0
11.295971,9.771213,9.760187,9.089661,9.047407,12.051892,10.453734,10.448235,9.725996,9.705207,12.434828,10.83379,10.826238,10.144602,10.12,12.626224,11.026369,11.020672,10.356694,10.339703,82,28,1
11.106187,9.685439,9.671465,9.065053,9.065037,11.854361,10.343436,10.336476,9.689493,9.689483,12.23605,10.719274,10.709778,10.108376,10.082073,12.430902,10.913075,10.906157,10.321394,10.30343,83,28,2
10.534645,9.665932,9.646215,9.129964,9.084084,11.218143,10.28469,10.27545,9.744182,9.721646,11.538469,10.623341,10.61083,10.137556,10.111092,11.792118,10.818678,10.809661,10.348108,10.32999,84,29,0
11.323134,9.84837,9.838038,9.171988,9.132493,12.113834,10.538141,10.532904,9.811523,9.811522,12.488161,10.900594,10.89329,10.20768,10.207646,12.682494,11.092472,11.086969,10.417065,10.417066,85,29,1
11.144803,9.773831,9.760907,9.150708,9.150716,11.920321,10.435883,10.42941,9.777597,9.777615,12.29184,10.790755,10.781786,10.172582,10.14766,12.488465,10.982504,10.976135,10.382449,10.365276,86,29,2
10.349565,9.501073,9.477474,9.004034,8.951073,11.061549,10.142301,10.131121,9.634021,9.608342,11.431149,10.526173,10.512058,10.067944,10.038917,11.668297,10.707544,10.697752,10.268229,10.24821,87,30,0
11.295032,9.737344,9.725535,9.05645,9.011265,12.021152,10.422137,10.416057,9.704184,9.704182,12.399623,10.808076,10.799862,10.134221,10.134251,12.565732,10.979152,10.97295,10.330753,10.330729,88,30,1
11.099729,9.640516,9.625391,9.029705,9.029701,11.823143,10.309456,10.301928,9.668593,9.644706,12.201672,10.695117,10.685097,10.100557,10.073154,12.371606,10.869141,10.861429,10.298795,10.279716,89,30,2
10.271546,9.430339,9.405066,8.942558,8.886948,10.973191,10.062064,10.050297,9.564955,9.564953,11.364123,10.463896,10.449311,10.016886,10.016867,11.61474,10.652776,10.642604,10.223752,10.223772,90,31,0
11.185232,9.64693,9.633846,8.988111,8.988099,11.925563,10.330476,10.323816,9.629086,9.605521,12.328216,10.737579,10.728949,10.078499,10.051685,12.504219,10.917873,10.911183,10.282462,10.263838,91,31,1
10.992797,9.556414,9.53978,8.964646,8.912992,11.727969,10.220492,10.212244,9.596161,9.57093,12.130022,10.626314,10.615566,10.046875,10.046895,12.310816,10.808843,10.801113,10.252212,10.232607,92,31,2
10.214199,9.378643,9.352298,8.896585,8.896579,10.915019,10.005527,9.993013,9.514915,9.514975,11.314433,10.419515,10.404442,9.978787,9.978806,11.574739,10.610995,10.600201,10.188165,10.188157,93,32,0
11.101168,9.577556,9.563189,8.936694,8.936695,11.851117,10.264312,10.257151,9.575151,9.550357,12.263957,10.681661,10.672371,10.03649,10.008564,12.443715,10.864915,10.857893,10.243503,10.224159,94,32,1
10.910493,9.492248,9.474223,8.915858,8.861613,11.655425,10.156796,10.147934,9.544166,9.517766,12.067356,10.573252,10.561793,10.006814,10.006797,12.251541,10.759075,10.750489,10.214866,10.214931,95,32,2
10.042535,9.227826,9.19751,8.774776,8.774781,10.748416,9.850854,9.836727,9.389428,9.358662,11.184834,10.304291,10.287766,9.889648,9.857108,11.461589,10.503412,10.491945,10.105135,10.083085,96,33,0
