"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
10.564842,11.320139,11.284357,10.995597,10.948591,10.9463,11.439766,11.427496,11.064208,11.042043,11.14864,11.511268,11.500752,11.090668,11.077288,11.324131,11.577003,11.567298,11.113572,11.106379,85,29,1
10.563737,11.319955,11.285266,10.995422,10.948576,10.957509,11.441687,11.42766,11.064574,11.042348,11.15613,11.507669,11.502138,11.090644,11.077721,11.331203,11.566956,11.562624,11.11205,11.107274,86,29,2
10.534225,11.302675,11.263645,10.984425,10.933655,10.941737,11.428175,11.415881,11.05658,11.033945,11.158541,11.496963,11.492738,11.084481,11.07038,11.334703,11.566838,11.558779,11.107738,11.101583,87,30,0
10.538216,11.302149,11.264071,10.984355,10.933694,10.92347,11.429879,11.414603,11.057032,11.033597,11.150425,11.501985,11.490553,11.084738,11.06946,11.334278,11.568297,11.565328,11.108687,11.100282,88,30,1
10.531939,11.302796,11.264177,10.984262,10.933606,10.949363,11.43038,11.415411,11.05663,11.033443,11.155842,11.501177,11.491615,11.085175,11.070936,11.316417,11.565814,11.554815,11.108874,11.100897,89,30,2
10.46036,11.239941,11.197846,10.926756,10.872289,10.887819,11.372894,11.353857,11.00262,10.978687,11.09216,11.441434,11.433408,11.032977,11.017176,11.293107,11.50888,11.512035,11.056905,11.049285,90,31,0
10.461007,11.239945,11.198033,10.926807,10.872311,10.875623,11.370119,11.356989,11.002699,10.979123,11.095556,11.44221,11.436029,11.03198,11.018357,11.2668,11.516214,11.509151,11.058221,11.04798,91,31,1
10.45961,11.239538,11.198405,10.926838,10.872195,10.886647,11.37034,11.356648,11.00288,10.978578,11.104698,11.446344,11.434489,11.031761,11.017183,11.28502,11.515543,11.513653,11.056358,11.049094,92,31,2
10.405148,11.194717,11.151618,10.884785,10.828337,10.84441,11.33038,11.31012,10.962821,10.93749,11.066516,11.403915,11.393603,10.992736,10.978021,11.245856,11.479514,11.466784,11.018776,11.010688,93,32,0
10.405466,11.194263,11.151303,10.884868,10.828423,10.830336,11.326312,11.309706,10.962742,10.938012,11.066425,11.397592,11.390368,10.993341,10.977461,11.255171,11.47067,11.470297,11.018502,11.010802,94,32,1
10.411139,11.194842,11.151819,10.884853,10.828444,10.830471,11.330654,11.3082,10.963364,10.937691,11.054617,11.403051,11.395494,10.991791,10.977197,11.244289,11.471826,11.469976,11.016828,11.010346,95,32,2
10.264928,11.074203,11.02501,10.773108,10.708858,10.718758,11.218577,11.198923,10.858611,10.830616,10.953539,11.299624,11.289232,10.892057,10.87516,11.163549,11.376588,11.365973,10.920455,10.910882,96,33,0
10.265847,11.073574,11.024402,10.773164,10.708964,10.701089,11.215424,11.196302,10.859537,10.830812,10.945776,11.292233,11.284357,10.891087,10.875561,11.166905,11.371737,11.361611,10.920686,10.912479,97,33,1
10.264705,11.074138,11.023882,10.773166,10.708927,10.711915,11.217337,11.199251,10.859067,10.830574,10.957802,11.295999,11.286948,10.890891,10.874544,11.152866,11.371982,11.366967,10.919742,10.910565,98,33,2
10.165527,10.989402,10.934484,10.690971,10.619867,10.607135,11.138344,11.114921,10.784165,10.752162,10.87972,11.220472,11.206156,10.818832,10.800377,11.069528,11.298079,11.294508,10.84737,10.838575,99,34,0
10.164178,10.989238,10.934169,10.691027,10.619943,10.628457,11.137251,11.11499,10.783974,10.752956,10.889677,11.214564,11.207342,10.817973,10.8001,11.080746,11.303779,11.293231,10.850069,10.838261,100,34,1
10.165207,10.989172,10.934549,10.690958,10.619918,10.607683,11.136634,11.115334,10.784327,10.75303,10.871005,11.22072,11.209714,10.819785,10.798932,11.089143,11.301422,11.298456,10.848823,10.8378,101,34,2
10.346985,11.137046,11.093303,10.824224,10.767318,10.773744,11.271436,11.253144,10.903699,10.877422,11.00367,11.344785,11.338608,10.933255,10.91823,11.183679,11.420997,11.408221,10.959857,10.952028,102,35,0
10.346536,11.136682,11.093191,10.824205,10.767322,10.776712,11.272739,11.25187,10.903157,10.877709,11.011598,11.346924,11.335302,10.934265,10.918539,11.189843,11.41961,11.406474,10.960537,10.951094,103,35,1
10.35001,11.136262,11.093609,10.824071,10.767367,10.762374,11.272395,11.253038,10.903576,10.87753,11.008906,11.34103,11.335496,10.933692,10.918716,11.173562,11.414,11.409781,10.961121,10.951549,104,35,2
10.354823,11.138725,11.096437,10.821272,10.764979,10.7551,11.268958,11.244582,10.899845,10.873865,10.985649,11.335705,11.33064,10.930202,10.913641,11.158157,11.411808,11.406582,10.956636,10.946488,105,36,0
10.354784,11.139084,11.096628,10.821252,10.764954,10.757542,11.268402,11.250116,10.899458,10.873664,10.976161,11.342375,11.329595,10.929297,10.914268,11.168745,11.412766,11.400788,10.956482,10.947703,106,36,1
10.356128,11.13862,11.096257,10.821279,10.76505,10.767495,11.269444,11.244698,10.899559,10.874329,10.987792,11.3389,11.327401,10.929951,10.914216,11.180447,11.411016,11.402935,10.956388,10.947872,107,36,2
10.236909,11.035267,10.987281,10.726185,10.663466,10.670947,11.175707,11.158246,10.812423,10.783948,10.900747,11.252997,11.243427,10.846168,10.827865,11.109279,11.330434,11.326773,10.87341,10.864441,108,37,0
10.232183,11.0353,10.987407,10.726295,10.663499,10.674602,11.175892,11.159568,10.813013,10.784084,10.902409,11.252447,11.249074,10.845232,10.828505,11.118203,11.336496,11.32382,10.873639,10.86507,109,37,1
10.233083,11.034712,10.987574,10.726149,10.663493,10.679641,11.17484,11.154019,10.812543,10.784618,10.890466,11.262567,11.245106,10.845831,10.827665,11.122024,11.335185,11.325635,10.873569,10.865887,110,37,2
10.058954,10.886291,10.827518,10.589615,10.513499,10.508733,11.042133,11.01643,10.689853,10.654825,10.775782,11.127917,11.115702,10.727784,10.706258,10.999317,11.214913,11.20892,10.759119,10.749852,111,38,0
10.060646,10.886654,10.827663,10.58966,10.513458,10.512478,11.037865,11.016635,10.689618,10.655367,10.765028,11.129687,11.11502,10.726249,10.705166,10.999624,11.214527,11.201921,10.757847,10.748044,112,38,1
10.061723,10.886666,10.827518,10.58955,10.513459,10.515045,11.041299,11.013957,10.690116,10.655758,10.780229,11.129676,11.115424,10.726666,10.707073,11.003799,11.216929,11.204361,10.760113,10.74887,113,38,2
